MATINH,MAHUYEN,MAXA,MADIABAN,SONHANKHAU,soho,ky,ttnt,dbmauchu,tentinh,tenhuyen,tenxa,tendb,thon,tenthon,ttnt2019,db2019,db2022,xa2019,xa2022,dakhaosat,kqrasoat,hhur2020,soxa45,wt45,soxa36,wt36,soxa9,wt9,WT_SCIECO
1,19,592,54,59,15,7,1,391,Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,TDP 4-14,004,TDP số 4,1,133,102,7920,8216,Mới,0,1231752.97,72,875,72,1093,72,4373,51625
1,19,631,14,51,15,6,1,407,Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Mễ Trì,khu tái định cư Đồng Me,006,TDP số 5 Mễ Trì Hạ,1,227,196,9373,9745,Đã khảo sát 2021,0,1231752.97,72,985,72,1231,72,4924,50235
1,19,634,11,64,15,12,1,412,Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Đại Mỗ,TDP số 1 Đình -2,004,TDP số 1 Đình,1,148,145,8814,9275,Đã khảo sát 2020 và 2021,0,1231752.97,72,1117,72,1397,72,5587,71488
1,2,37,33,58,15,12,1,26,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,E38,049,Tổ 48,1,89,80,4638,4765,Đã khảo sát 2020 và 2021,0,1231752.97,72,1025,72,1281,72,5126,59450
1,2,67,17,46,15,12,1,33,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Chương Dương,E199,038+039,Tổ 47+Tổ 49,1,177,158,6554,6699,Đã khảo sát 2020,0,1231752.97,72,1018,72,1273,72,5090,46828
1,2,76,3,68,15,7,1,36,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,E267,003+004,Tổ 17+Tổ 18,1,236,132,6850,6665,Mới,0,1231752.97,72,638,72,797,72,3190,43384
1,20,649,55,53,15,11,2,430,Thành phố Hà Nội,Huyện Thanh Trì,Xã Tả Thanh Oai,Thôn Tả Thanh Oai (Bên phải ngõ 26 đến ngách nhà bà Lan Trực xuống bên trái ngõ 30 vào ngách nhà bà Vinh - Thành ),002,Thôn Tả Thanh Oai,2,145,140,11076,11178,Đã khảo sát 2020,0,1086806,68,1029,68,1286,68,5144,54537
1,20,655,37,62,15,9,2,434,Thành phố Hà Nội,Huyện Thanh Trì,Xã Tam Hiệp,Nhà Lý Đạo + khu Ao làng + xóm Phân Lân + Quỳnh Lân,005,thôn Huỳnh Cung,2,131,118,4845,4787,Mới,0,1086806,68,960,68,1200,68,4799,59520
1,20,661,1,55,15,12,2,436,Thành phố Hà Nội,Huyện Thanh Trì,Xã Yên Mỹ,Thôn 1 (Xóm 3),001,Thôn 1,2,126,125,1895,1905,Đã khảo sát 2020 và 2021,0,1086806,68,1057,68,1321,68,5285,58135
1,20,673,25,57,15,3,2,442,Thành phố Hà Nội,Huyện Thanh Trì,Xã Ngọc Hồi,thôn Ngọc Hồi 9,003,Thôn Ngọc Hồi,2,137,133,3955,4120,Đã khảo sát 2021,0,1086806,68,1034,68,1293,68,5172,58938
1,21,604,9,57,15,3,1,456,Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Thụy Phương,"TDP Hồng Ngự (Dốc bến ngự, đường 5m phía bờ sông đến Bến phà Chèm và khu nhà thờ phê rô)",004,TDP Hồng Ngự,1,125,114,4039,4038,Mới,0,1231752.97,72,1040,72,1300,72,5201,59280
1,21,607,17,71,15,7,1,458,Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Tây Tựu,Từ ngõ 192 quay về đường Tây Tựu rẽ trái quay về ngõ 192( nhà ông Hiền vân),003,TDP Thượng 2,1,124,115,5979,5935,Đã khảo sát 2021,0,1231752.97,72,1058,72,1322,72,5289,75118
