tentinh,tenhuyen,tenxa,tendb,wb_poverty,count
An Giang,Huyện Chợ Mới,Xã Kiến Thành,"Ấp Kiến Hưng 1 Từ tổ 18,19,20,21",extreme poverty,9045.333333333334
An Giang,Huyện Chợ Mới,Xã Kiến Thành,"Ấp Kiến Hưng 1 Từ tổ 18,19,20,21",normal,24874.666666666668
An Giang,Huyện Chợ Mới,Xã Long Kiến,Ấp Long An (tổ 11đến 17),extreme poverty,18004.8
An Giang,Huyện Chợ Mới,Xã Long Kiến,Ấp Long An (tổ 11đến 17),normal,12003.2
An Giang,Huyện Chợ Mới,Xã Long Điền B,"Ấp Long Thuận (tổ 4,3,2,1)",extreme poverty,6404.533333333334
An Giang,Huyện Chợ Mới,Xã Long Điền B,"Ấp Long Thuận (tổ 4,3,2,1)",normal,17612.466666666667
An Giang,Huyện Chợ Mới,Xã Mỹ An,"Ấp Mỹ Long (tổ 13,14,15,16)",extreme poverty,8673
An Giang,Huyện Chợ Mới,Xã Mỹ An,"Ấp Mỹ Long (tổ 13,14,15,16)",normal,17346
An Giang,Huyện Chợ Mới,Xã Mỹ Hiệp,"Ấp Tây Thượng Tổ: 1,2,3,4,5",extreme poverty,15494.4
An Giang,Huyện Chợ Mới,Xã Mỹ Hiệp,"Ấp Tây Thượng Tổ: 1,2,3,4,5",normal,13557.6
An Giang,Huyện Phú Tân,Xã Bình Thạnh Đông,"Ấp Bình Tây 2 ( tổ 6, 7, 8, 9)",extreme poverty,12398.4
An Giang,Huyện Phú Tân,Xã Bình Thạnh Đông,"Ấp Bình Tây 2 ( tổ 6, 7, 8, 9)",normal,14169.6
An Giang,Huyện Phú Tân,Xã Long Hoà,"Ấp Long Hòa 2 (Tổ 9, tổ 10)",extreme poverty,8568
An Giang,Huyện Phú Tân,Xã Long Hoà,"Ấp Long Hòa 2 (Tổ 9, tổ 10)",normal,12852
An Giang,Huyện Phú Tân,Xã Phú An,"Ấp Phú Qưới ( tổ 16,17,18,19,20)",extreme poverty,4995.2
An Giang,Huyện Phú Tân,Xã Phú An,"Ấp Phú Qưới ( tổ 16,17,18,19,20)",normal,19980.8
An Giang,Huyện Phú Tân,Xã Phú Hưng,"Ấp Hưng Mỹ ( Tổ 7, 8,9)",extreme poverty,12069.866666666667
An Giang,Huyện Phú Tân,Xã Phú Hưng,"Ấp Hưng Mỹ ( Tổ 7, 8,9)",normal,13794.133333333333
An Giang,Huyện Phú Tân,Xã Phú Lâm,"Ấp Phú Hòa A (Tổ 1, tổ 2,tổ 3)",extreme poverty,15210.666666666666
An Giang,Huyện Phú Tân,Xã Phú Lâm,"Ấp Phú Hòa A (Tổ 1, tổ 2,tổ 3)",normal,13309.333333333332
An Giang,Huyện Phú Tân,Xã Phú Xuân,"Ấp Phú Hạ (3/4 tổ 2, 1/3 tổ 3, 1/2 tổ 8, 1/2 tổ 10",extreme poverty,14347.199999999999
An Giang,Huyện Phú Tân,Xã Phú Xuân,"Ấp Phú Hạ (3/4 tổ 2, 1/3 tổ 3, 1/2 tổ 8, 1/2 tổ 10",normal,16396.8
An Giang,Huyện Thoại Sơn,Thị Trấn Óc Eo,"Ấp Tân Hiệp B tổ 5, tổ 6, tổ 7 và tổ 8",extreme poverty,4713.8
An Giang,Huyện Thoại Sơn,Thị Trấn Óc Eo,"Ấp Tân Hiệp B tổ 5, tổ 6, tổ 7 và tổ 8",normal,18855.2
An Giang,Huyện Thoại Sơn,Thị trấn Phú Hoà,"Ấp Hòa Đông Tổ 6,7,8,9,10",extreme poverty,9617.066666666668
An Giang,Huyện Thoại Sơn,Thị trấn Phú Hoà,"Ấp Hòa Đông Tổ 6,7,8,9,10",normal,26446.933333333334
An Giang,Huyện Thoại Sơn,Xã Bình Thành,"ấp Bình Thành (Tổ 17, 18, 19)",extreme poverty,13009.733333333334
An Giang,Huyện Thoại Sơn,Xã Bình Thành,"ấp Bình Thành (Tổ 17, 18, 19)",normal,14868.266666666666
An Giang,Huyện Thoại Sơn,Xã Vọng Đông,"Ấp Sơn Lập(11,10,9,8)",extreme poverty,12370.800000000001
An Giang,Huyện Thoại Sơn,Xã Vọng Đông,"Ấp Sơn Lập(11,10,9,8)",normal,18556.2
An Giang,Huyện Thoại Sơn,Xã Định Mỹ,"Phú Hữu (Tổ 14,15,16,17,18)",extreme poverty,12756.8
An Giang,Huyện Thoại Sơn,Xã Định Mỹ,"Phú Hữu (Tổ 14,15,16,17,18)",normal,11162.199999999999
An Giang,Huyện Tri Tôn,Thị trấn Tri Tôn,"Khóm I (Tổ 24,29,30,31)",extreme poverty,4253.333333333333
An Giang,Huyện Tri Tôn,Thị trấn Tri Tôn,"Khóm I (Tổ 24,29,30,31)",normal,27646.666666666664
An Giang,Huyện Tri Tôn,Xã Tân Tuyến,"Ấp Tân Lợi (Tổ 4,5,6,7,8,9,10,11,12)",extreme poverty,20118.266666666666
An Giang,Huyện Tri Tôn,Xã Tân Tuyến,"Ấp Tân Lợi (Tổ 4,5,6,7,8,9,10,11,12)",normal,7315.733333333334
An Giang,Huyện Tri Tôn,Xã Ô Lâm,"Ấp Phước Bình (Tổ 1,2)",extreme poverty,7316.8
An Giang,Huyện Tri Tôn,Xã Ô Lâm,"Ấp Phước Bình (Tổ 1,2)",normal,20121.2
An Giang,Huyện Tịnh Biên,Thị trấn Chi Lăng,"Khóm 2 (Tổ 2, Tổ 3)",normal,23641
An Giang,Huyện Tịnh Biên,Thị trấn Tịnh Biên,"Khóm Xuân Biên (Tổ 13, 14)",normal,32079
An Giang,Huyện Tịnh Biên,Xã An Cư,"Ấp Chơn Cô (Tổ 04, 06 và 07)",normal,32984
An Giang,Huyện Tịnh Biên,Xã An Hảo,Ấp An Thạnh (Tổ 5),normal,24255
An Giang,Huyện Tịnh Biên,Xã An Nông,"Ấp Tân Biên (Tổ 4, 5)",normal,28557
An Giang,Huyện Tịnh Biên,Xã Vĩnh Trung,Ấp Vĩnh Tâm (Tổ 7),normal,30348
An Giang,Thành phố Châu Đốc,Phường Châu Phú B,"Châu Long 2 (Tổ 37, 38, 39, 40 )",normal,28032
An Giang,Thành phố Châu Đốc,Phường Vĩnh Mỹ,"Khóm Mỹ Hoà (tổ 11, 12, 13, 14, 15)",normal,40896
An Giang,Thành phố Long Xuyên,Phường Mỹ Bình,Khóm Nguyễn Du (Tổ 4+9+10),normal,31507
An Giang,Thành phố Long Xuyên,Phường Mỹ Hòa,"Khóm Tây Huề 1 (Tổ 9,10,11,12 )",normal,41895
An Giang,Thành phố Long Xuyên,Phường Mỹ Long,"Khóm 3 (Tổ 9,10)",normal,36135
An Giang,Thành phố Long Xuyên,Phường Mỹ Phước,"Khóm Đông Thịnh 2 (tổ 17, 18, 19, 20)",normal,40858
An Giang,Thành phố Long Xuyên,Phường Mỹ Quý,"Khóm Mỹ Thọ (tổ 2, 4, 9)",normal,39650
An Giang,Thành phố Long Xuyên,Phường Mỹ Thới,"Khóm Trung Hưng (tổ 12,13,14)",normal,41220
An Giang,Thành phố Long Xuyên,Phường Mỹ Xuyên,"Khóm Đông an 5 (Tổ 65,66,67,68,69)",normal,31074.999999999996
