tentinh,tenhuyen,tenxa,tendb,wb_poverty,count
Hà Nam,Huyện Thanh Liêm,Xã Thanh Nghị,Thôn Nham Kênh 2,extreme poverty,15955.866666666667
Hà Nam,Huyện Thanh Liêm,Xã Thanh Nghị,Thôn Nham Kênh 2,normal,5802.133333333333
Hà Nam,Thành phố Phủ Lý,Phường Châu Sơn,TDP Nam Sơn 2,normal,16253.999999999998
Hà Nam,Thành phố Phủ Lý,Phường Hai Bà Trưng,Tổ 7+Tổ Bảo Thôn,normal,25620
Hà Nam,Thành phố Phủ Lý,Phường Lê Hồng Phong,Tổ dân phố số 6.4,extreme poverty,1292
Hà Nam,Thành phố Phủ Lý,Phường Lê Hồng Phong,Tổ dân phố số 6.4,normal,18088
Hà Nam,Thành phố Phủ Lý,Phường Quang Trung,Tổ 6.1,extreme poverty,3459.2
Hà Nam,Thành phố Phủ Lý,Phường Quang Trung,Tổ 6.1,normal,13836.8
Hà Nam,Thành phố Phủ Lý,Xã Kim Bình,Thôn Đồng Tiến 3,extreme poverty,8013.5999999999995
Hà Nam,Thành phố Phủ Lý,Xã Kim Bình,Thôn Đồng Tiến 3,normal,12020.4
Hà Nam,Thành phố Phủ Lý,Xã Liêm Tiết,Thôn Văn Lâm 1.2,extreme poverty,12816
Hà Nam,Thành phố Phủ Lý,Xã Liêm Tiết,Thôn Văn Lâm 1.2,normal,11214
Hà Nam,Thành phố Phủ Lý,Xã Phù Vân,Thôn 1.1,extreme poverty,5789.333333333333
Hà Nam,Thành phố Phủ Lý,Xã Phù Vân,Thôn 1.1,normal,11578.666666666666
Hà Nam,Thành phố Phủ Lý,Xã Tiên Hiệp,Thôn Phú Ngòi 3,extreme poverty,9009.333333333332
Hà Nam,Thành phố Phủ Lý,Xã Tiên Hiệp,Thôn Phú Ngòi 3,normal,18018.666666666664
Hà Nam,Thị xã Duy Tiên,Phường Châu Giang,Chuyên Thiện 2– Châu Giang,extreme poverty,3717.0666666666666
Hà Nam,Thị xã Duy Tiên,Phường Châu Giang,Chuyên Thiện 2– Châu Giang,normal,10221.933333333332
Hà Nam,Thị xã Duy Tiên,Phường Duy Hải,Tam Giáp 2,extreme poverty,1241
Hà Nam,Thị xã Duy Tiên,Phường Duy Hải,Tam Giáp 2,normal,17374
Hà Nam,Thị xã Duy Tiên,Phường Hoàng Đông,Ngọc Động 2,extreme poverty,4575.466666666666
Hà Nam,Thị xã Duy Tiên,Phường Hoàng Đông,Ngọc Động 2,normal,12582.533333333333
Hà Nam,Thị xã Duy Tiên,Phường Hòa Mạc,Khánh Hòa,normal,12956
Hà Nam,Thị xã Duy Tiên,Phường Tiên Nội,Hòa A 1,normal,22243
Hà Nam,Thị xã Duy Tiên,Phường Yên Bắc,Thôn trại Lũng Xuyên 2,extreme poverty,11175.266666666666
Hà Nam,Thị xã Duy Tiên,Phường Yên Bắc,Thôn trại Lũng Xuyên 2,normal,4063.733333333333
Hà Nam,Thị xã Duy Tiên,Phường Đồng Văn,Tổ 1 phố NHT,normal,18816
Hà Nam,Thị xã Duy Tiên,Xã Mộc Bắc,Xóm 8 - Yên Từ,extreme poverty,13525.199999999999
Hà Nam,Thị xã Duy Tiên,Xã Mộc Bắc,Xóm 8 - Yên Từ,normal,9016.8
Hà Nội,Huyện Ba Vì,Xã Ba Trại,Dốc Võng,extreme poverty,32221.8
Hà Nội,Huyện Ba Vì,Xã Ba Trại,Dốc Võng,normal,21481.199999999997
Hà Nội,Huyện Ba Vì,Xã Phú Sơn,Xóm Đông,extreme poverty,26040
Hà Nội,Huyện Ba Vì,Xã Phú Sơn,Xóm Đông,normal,39060
Hà Nội,Huyện Ba Vì,Xã Thụy An,Duyên lãm,extreme poverty,59713.33333333333
Hà Nội,Huyện Ba Vì,Xã Thụy An,Duyên lãm,normal,9186.666666666666
Hà Nội,Huyện Ba Vì,Xã Vạn Thắng,Đội 3 La Xuyên,extreme poverty,41520
Hà Nội,Huyện Ba Vì,Xã Vạn Thắng,Đội 3 La Xuyên,normal,20760
Hà Nội,Huyện Chương Mỹ,Xã Hòa Chính,Thôn Yên Nhân-2,extreme poverty,61492.6
Hà Nội,Huyện Chương Mỹ,Xã Hòa Chính,Thôn Yên Nhân-2,normal,9460.4
Hà Nội,Huyện Chương Mỹ,Xã Nam Phương Tiến,Thôn Nhân Lý 1-,extreme poverty,64332.799999999996
Hà Nội,Huyện Chương Mỹ,Xã Nam Phương Tiến,Thôn Nhân Lý 1-,normal,4595.2
Hà Nội,Huyện Chương Mỹ,Xã Thủy Xuân Tiên,Xuân Sen 1-,extreme poverty,33476.8
Hà Nội,Huyện Chương Mỹ,Xã Thủy Xuân Tiên,Xuân Sen 1-,normal,29292.200000000004
Hà Nội,Huyện Chương Mỹ,Xã Thủy Xuân Tiên,Xóm Bốn 2-,extreme poverty,41914.666666666664
Hà Nội,Huyện Chương Mỹ,Xã Thủy Xuân Tiên,Xóm Bốn 2-,normal,20957.333333333332
Hà Nội,Huyện Chương Mỹ,Xã Đông Sơn,Lương Sơn 2-,extreme poverty,59857.600000000006
Hà Nội,Huyện Chương Mỹ,Xã Đông Sơn,Lương Sơn 2-,normal,21766.4
Hà Nội,Huyện Gia Lâm,Thị trấn Trâu Quỳ,Bình Minh 3,normal,58520
Hà Nội,Huyện Gia Lâm,Thị trấn Yên Viên,Tổ dân phố Yên Hà-3,normal,66464
Hà Nội,Huyện Gia Lâm,Xã Cổ Bi,Thôn Cam 3-3,extreme poverty,26040
Hà Nội,Huyện Gia Lâm,Xã Cổ Bi,Thôn Cam 3-3,normal,39060
Hà Nội,Huyện Gia Lâm,Xã Dương Quang,Thôn Bình Trù-2,extreme poverty,54937.6
Hà Nội,Huyện Gia Lâm,Xã Dương Quang,Thôn Bình Trù-2,normal,13734.4
Hà Nội,Huyện Gia Lâm,Xã Phú Thị,Thôn Đại Bản-3,extreme poverty,39915.6
Hà Nội,Huyện Gia Lâm,Xã Phú Thị,Thôn Đại Bản-3,normal,26610.4
Hà Nội,Huyện Gia Lâm,Xã Văn Đức,Đội 1 + Đội 2,extreme poverty,67730
Hà Nội,Huyện Gia Lâm,Xã Văn Đức,Đội 1 + Đội 2,normal,10420
Hà Nội,Huyện Gia Lâm,Xã Yên Thường,Thôn Lại Hoàng-2,extreme poverty,49092.26666666667
Hà Nội,Huyện Gia Lâm,Xã Yên Thường,Thôn Lại Hoàng-2,normal,17851.733333333334
Hà Nội,Huyện Hoài Đức,Xã An Khánh,Tầng 9 - tầng 12B Toà CC Gemek Tower II,extreme poverty,3623.3333333333335
Hà Nội,Huyện Hoài Đức,Xã An Khánh,Tầng 9 - tầng 12B Toà CC Gemek Tower II,normal,50726.66666666667
Hà Nội,Huyện Hoài Đức,Xã Cát Quế,Thôn 8(Khu 14+ Cát Trung),extreme poverty,32134.200000000004
Hà Nội,Huyện Hoài Đức,Xã Cát Quế,Thôn 8(Khu 14+ Cát Trung),normal,36724.8
Hà Nội,Huyện Hoài Đức,Xã La Phù,Thôn Trần Phú I,extreme poverty,19327.333333333332
Hà Nội,Huyện Hoài Đức,Xã La Phù,Thôn Trần Phú I,normal,38654.666666666664
Hà Nội,Huyện Hoài Đức,Xã Đức Giang,Xóm 1- Cao Trung,normal,62100
Hà Nội,Huyện Mê Linh,Thị trấn Quang Minh,TDP Số 4.4,normal,79307
Hà Nội,Huyện Mê Linh,Xã Chu Phan,Thôn Tân Châu 1,extreme poverty,57182.399999999994
Hà Nội,Huyện Mê Linh,Xã Chu Phan,Thôn Tân Châu 1,normal,14295.599999999999
Hà Nội,Huyện Mê Linh,Xã Tiền Phong,Thôn Do Nhân Thượng 5,normal,57070
Hà Nội,Huyện Mê Linh,Xã Tráng Việt,Thôn Tráng Việt 7,extreme poverty,50682.666666666664
Hà Nội,Huyện Mê Linh,Xã Tráng Việt,Thôn Tráng Việt 7,normal,25341.333333333332
Hà Nội,Huyện Mê Linh,Xã Tự Lập,Thôn Phú Mỹ (Xóm 6.2),extreme poverty,48290.4
Hà Nội,Huyện Mê Linh,Xã Tự Lập,Thôn Phú Mỹ (Xóm 6.2),normal,32193.600000000002
Hà Nội,Huyện Mỹ Đức,Xã An Tiến,Thôn An Đà-1,extreme poverty,29347.2
Hà Nội,Huyện Mỹ Đức,Xã An Tiến,Thôn An Đà-1,normal,19564.800000000003
Hà Nội,Huyện Mỹ Đức,Xã Bột Xuyên,Thôn Phú Hữu-2,extreme poverty,24483.2
Hà Nội,Huyện Mỹ Đức,Xã Bột Xuyên,Thôn Phú Hữu-2,normal,27980.8
Hà Nội,Huyện Mỹ Đức,Xã Hợp Thanh,Thôn Ải-4,extreme poverty,14946.4
Hà Nội,Huyện Mỹ Đức,Xã Hợp Thanh,Thôn Ải-4,normal,41102.6
Hà Nội,Huyện Mỹ Đức,Xã Đại Hưng,Đội 11 thượng tiết,extreme poverty,27523.199999999997
Hà Nội,Huyện Mỹ Đức,Xã Đại Hưng,Đội 11 thượng tiết,normal,41284.799999999996
Hà Nội,Huyện Phú Xuyên,Thị trấn Phú Xuyên,Xóm Trung,extreme poverty,42597.333333333336
Hà Nội,Huyện Phú Xuyên,Thị trấn Phú Xuyên,Xóm Trung,normal,21298.666666666668
Hà Nội,Huyện Phú Xuyên,Xã Chuyên Mỹ,Xóm Ao Lăng thôn Bối Khê,extreme poverty,40850
Hà Nội,Huyện Phú Xuyên,Xã Chuyên Mỹ,Xóm Ao Lăng thôn Bối Khê,normal,20425
Hà Nội,Huyện Phú Xuyên,Xã Hoàng Long,Cầu Cong 1,extreme poverty,23288
Hà Nội,Huyện Phú Xuyên,Xã Hoàng Long,Cầu Cong 1,normal,20377
Hà Nội,Huyện Phú Xuyên,Xã Phú Túc,Xóm Giữa 1,extreme poverty,50112
Hà Nội,Huyện Phú Xuyên,Xã Phú Túc,Xóm Giữa 1,normal,12528
Hà Nội,Huyện Phú Xuyên,Xã Quang Lãng,Xóm Đình,extreme poverty,54670
Hà Nội,Huyện Phú Xuyên,Xã Quang Lãng,Xóm Đình,normal,3905
Hà Nội,Huyện Phúc Thọ,Xã Hiệp Thuận,Cụm 2-1,extreme poverty,17380
Hà Nội,Huyện Phúc Thọ,Xã Hiệp Thuận,Cụm 2-1,normal,69520
Hà Nội,Huyện Phúc Thọ,Xã Phụng Thượng,Cụm 2-1,extreme poverty,12648
Hà Nội,Huyện Phúc Thọ,Xã Phụng Thượng,Cụm 2-1,normal,50592
Hà Nội,Huyện Phúc Thọ,Xã Tích Giang,cụm 9 - 1,extreme poverty,35784
Hà Nội,Huyện Phúc Thọ,Xã Tích Giang,cụm 9 - 1,normal,23856
Hà Nội,Huyện Phúc Thọ,Xã Xuân Đình,Xuân Đông,extreme poverty,24897.600000000002
Hà Nội,Huyện Phúc Thọ,Xã Xuân Đình,Xuân Đông,normal,37346.4
Hà Nội,Huyện Quốc Oai,Xã Hòa Thạch,Xóm mới + xóm Gò Gia,extreme poverty,18104
Hà Nội,Huyện Quốc Oai,Xã Hòa Thạch,Xóm mới + xóm Gò Gia,normal,72416
Hà Nội,Huyện Quốc Oai,Xã Ngọc Liệp,Xóm 5 Thôn Đồng Bụt,extreme poverty,49430.399999999994
Hà Nội,Huyện Quốc Oai,Xã Ngọc Liệp,Xóm 5 Thôn Đồng Bụt,normal,12357.599999999999
Hà Nội,Huyện Quốc Oai,Xã Thạch Thán,Xóm 6,extreme poverty,51744
Hà Nội,Huyện Sóc Sơn,Xã Bắc Sơn,Phúc Xuân 3,extreme poverty,36920
Hà Nội,Huyện Sóc Sơn,Xã Bắc Sơn,Phúc Xuân 3,normal,18460
Hà Nội,Huyện Sóc Sơn,Xã Phù Linh,Phù Mã 1,extreme poverty,10490
Hà Nội,Huyện Sóc Sơn,Xã Phù Linh,Phù Mã 1,normal,41960
Hà Nội,Huyện Sóc Sơn,Xã Thanh Xuân,Thanh Nhàn 2,extreme poverty,31220
Hà Nội,Huyện Sóc Sơn,Xã Thanh Xuân,Thanh Nhàn 2,normal,35680
Hà Nội,Huyện Sóc Sơn,Xã Tân Dân,Xuân Lễ 1,extreme poverty,43848
Hà Nội,Huyện Sóc Sơn,Xã Tân Dân,Xuân Lễ 1,normal,29232
Hà Nội,Huyện Thanh Oai,Xã Cao Viên,Xóm Thắng Lợi 2,extreme poverty,4061.866666666667
Hà Nội,Huyện Thanh Oai,Xã Cao Viên,Xóm Thắng Lợi 2,normal,56866.13333333333
Hà Nội,Huyện Thanh Oai,Xã Hồng Dương,Phương Nhị 1,extreme poverty,51120
Hà Nội,Huyện Thanh Oai,Xã Thanh Mai,My Hạ 5,extreme poverty,15336
Hà Nội,Huyện Thanh Oai,Xã Thanh Mai,My Hạ 5,normal,42174
Hà Nội,Huyện Thanh Trì,Xã Ngọc Hồi,thôn Ngọc Hồi 9,normal,58938
Hà Nội,Huyện Thanh Trì,Xã Tam Hiệp,Nhà Lý Đạo + khu Ao làng + xóm Phân Lân + Quỳnh Lân,normal,59520
Hà Nội,Huyện Thanh Trì,Xã Tả Thanh Oai,Thôn Tả Thanh Oai (Bên phải ngõ 26 đến ngách nhà bà Lan Trực xuống bên trái ngõ 30 vào ngách nhà bà Vinh - Thành ),normal,54537
Hà Nội,Huyện Thanh Trì,Xã Yên Mỹ,Thôn 1 (Xóm 3),normal,58135
Hà Nội,Huyện Thường Tín,Xã Nguyễn Trãi,Mễ Sơn 1,extreme poverty,22010
Hà Nội,Huyện Thường Tín,Xã Nguyễn Trãi,Mễ Sơn 1,normal,44020
Hà Nội,Huyện Thường Tín,Xã Ninh Sở,Sở Hạ 3,extreme poverty,24148.600000000002
Hà Nội,Huyện Thường Tín,Xã Ninh Sở,Sở Hạ 3,normal,27598.4
Hà Nội,Huyện Thường Tín,Xã Quất Động,Quất Tỉnh 1,extreme poverty,20203.600000000002
Hà Nội,Huyện Thường Tín,Xã Quất Động,Quất Tỉnh 1,normal,30305.4
Hà Nội,Huyện Thường Tín,Xã Vân Tảo,Đội 2,extreme poverty,33136
Hà Nội,Huyện Thường Tín,Xã Vân Tảo,Đội 2,normal,49704
Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Phố Ga,normal,52032
Hà Nội,Huyện Thạch Thất,Xã Phú Kim,Xóm Đinh,extreme poverty,91858.66666666666
Hà Nội,Huyện Thạch Thất,Xã Phú Kim,Xóm Đinh,normal,6561.333333333333
Hà Nội,Huyện Thạch Thất,Xã Thạch Hoà,Thôn 7,normal,53250
Hà Nội,Huyện Đan Phượng,Xã Thọ Xuân,Cum dân cư số 10,extreme poverty,60420
Hà Nội,Huyện Đan Phượng,Xã Tân Hội,Cụm 1+2 – thôn Vĩnh Kỳ-2,extreme poverty,8870.133333333333
Hà Nội,Huyện Đan Phượng,Xã Tân Hội,Cụm 1+2 – thôn Vĩnh Kỳ-2,normal,57655.86666666667
Hà Nội,Huyện Đan Phượng,Xã Đồng Tháp,Thôn Bãi Thụy-2,extreme poverty,69580
Hà Nội,Huyện Đan Phượng,Xã Đồng Tháp,Thôn Bãi Thụy-2,normal,4970
Hà Nội,Huyện Đông Anh,Xã Hải Bối,Thôn Cổ Điển-10,extreme poverty,3408
Hà Nội,Huyện Đông Anh,Xã Hải Bối,Thôn Cổ Điển-10,normal,47712
Hà Nội,Huyện Đông Anh,Xã Liên Hà,Thôn Giao Tác-2,extreme poverty,22010
Hà Nội,Huyện Đông Anh,Xã Liên Hà,Thôn Giao Tác-2,normal,44020
Hà Nội,Huyện Đông Anh,Xã Nguyên Khê,Khối phố - Nguyên Khê,normal,51198
Hà Nội,Huyện Đông Anh,Xã Thuỵ Lâm,Thôn Mạnh Tân-5,extreme poverty,40096
Hà Nội,Huyện Đông Anh,Xã Thuỵ Lâm,Thôn Mạnh Tân-5,normal,35084
Hà Nội,Huyện Đông Anh,Xã Tiên Dương,Thôn Trung Oai-5,extreme poverty,41221.33333333333
Hà Nội,Huyện Đông Anh,Xã Tiên Dương,Thôn Trung Oai-5,normal,20610.666666666664
Hà Nội,Huyện Đông Anh,Xã Đại Mạch,Xóm Tây-4,extreme poverty,46368
Hà Nội,Huyện Đông Anh,Xã Đại Mạch,Xóm Tây-4,normal,23184
Hà Nội,Huyện Ứng Hòa,Xã Hoa Sơn,Xóm 1 Miêng Thượng,normal,49772
Hà Nội,Huyện Ứng Hòa,Xã Hòa Phú,Thống Nhất - Đặng Giang-2,normal,45795
Hà Nội,Huyện Ứng Hòa,Xã Kim Đường,Xóm 1 - Cung Thuế,normal,56705
Hà Nội,Huyện Ứng Hòa,Xã Phương Tú,"Xóm Quang Trung, Cầu Lái",normal,50016
Hà Nội,Quận Ba Đình,Phường Giảng Võ,Tổ dân phố 13B,normal,59109
Hà Nội,Quận Ba Đình,Phường Liễu Giai,"Tổ 4B - ngõ 189 HHT, ngách 1, 15, 31/189 HHT, hẻm 189/1/2 HHT",normal,69680
Hà Nội,Quận Ba Đình,Phường Phúc Xá,Từ ngõ 32 đến đầu tường bao Công ty Cơ điện,normal,54468
Hà Nội,Quận Ba Đình,Phường Trúc Bạch,Tổ dân phố số 5,normal,55242
Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Tổ 4A: Ngõ 639 HHT + phía phải ngách 639/39 HHT + ngách 639/87 HHT,normal,51786
Hà Nội,Quận Ba Đình,Phường Điện Biên,Tổ dân phố số 10,normal,61128
Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"tầng 14 đến tầng 17 tòa nhà CT1B, tầng 2 đến tầng 7 tòa nhà CT1A KĐT Cổ Nhuế - Nghĩa Đô",normal,53382
Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,Nửa bên ngõ 201 đường Cổ Nhuế đến đầu ngõ 273 đường Cổ Nhuế(T),normal,52020
Hà Nội,Quận Bắc Từ Liêm,Phường Phú Diễn,Tổ dân phố số 14 (Từ ngõ 259/57 đến ngõ 259/55 đường Phú Diễn),normal,59696
Hà Nội,Quận Bắc Từ Liêm,Phường Phúc Diễn,"từ số nhà 3, ngõ 73 đến 41, ngõ 73 và từ số nhà 2, ngách 70 đến số nhà 3, ngách 70, đường Đức Diễn",normal,75264
Hà Nội,Quận Bắc Từ Liêm,Phường Thụy Phương,"TDP Hồng Ngự (Dốc bến ngự, đường 5m phía bờ sông đến Bến phà Chèm và khu nhà thờ phê rô)",normal,59280
Hà Nội,Quận Bắc Từ Liêm,Phường Tây Tựu,Từ ngõ 192 quay về đường Tây Tựu rẽ trái quay về ngõ 192( nhà ông Hiền vân),extreme poverty,65102.26666666667
Hà Nội,Quận Bắc Từ Liêm,Phường Tây Tựu,Từ ngõ 192 quay về đường Tây Tựu rẽ trái quay về ngõ 192( nhà ông Hiền vân),normal,10015.733333333334
Hà Nội,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,Số 2/355/49 đến Chùa Thiên Lộc đến số 83/355; Từ số 51-97/355; Từ 95- 23/355/95/3 đường Xuân Đỉnh,normal,74973
Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Tổ dân phố số 27-1,normal,47618
Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,TDP 3-2,normal,77430
Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Tổ dân phố số 18,normal,33312
Hà Nội,Quận Cầu Giấy,Phường Trung Hoà,Tổ dân phố số 8-2,normal,86784
Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,TDP số 3A và 3B,normal,70528
Hà Nội,Quận Hai Bà Trưng,Phường Lê Đại Hành,Tổ dân phố 4A+9A,normal,51585
Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,Tổ dân phố 5A,normal,49632
Hà Nội,Quận Hai Bà Trưng,Phường Quỳnh Lôi,Tổ dân phố 6A+6B,normal,68040
Hà Nội,Quận Hai Bà Trưng,Phường Quỳnh Mai,Tổ dân phố 5B,normal,45980
Hà Nội,Quận Hai Bà Trưng,Phường Đống Mác,Tổ dân phố 3B + 3C,normal,42378
Hà Nội,Quận Hai Bà Trưng,Phường Đồng Tâm,Tổ 1C,normal,39753
Hà Nội,Quận Hoàn Kiếm,Phường Chương Dương,E199,normal,46828
Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,E267,normal,43384
Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,E38,normal,59450
Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,Khu đô thị BĐLĐ 8,normal,62640
Hà Nội,Quận Hoàng Mai,Phường Mai Động,Tổ 48,normal,63896
Hà Nội,Quận Hoàng Mai,Phường Thanh Trì,Tổ DP số 28,normal,45705
Hà Nội,Quận Hoàng Mai,Phường Thịnh Liệt,Tổ dân phố số 32,normal,61374
Hà Nội,Quận Hoàng Mai,Phường Tương Mai,Tổ 40,normal,70760
Hà Nội,Quận Hoàng Mai,Phường Vĩnh Hưng,Tổ 30.1,normal,67319
Hà Nội,Quận Hoàng Mai,Phường Đại Kim,TDP số 21A1.3,normal,71398
Hà Nội,Quận Hà Đông,Phường Biên Giang,TDP Yên Phúc,normal,71883
Hà Nội,Quận Hà Đông,Phường Hà Cầu,Ngõ 3+4 Cầu Đơ 3,normal,54768
Hà Nội,Quận Hà Đông,Phường La Khê,"TDP Văn khê 3 (LK đô thị Văn Khê 1,2)",normal,73024
Hà Nội,Quận Hà Đông,Phường Phú La,TDP8 -Ngõ 804; dãy số nhà chẵn từ số nhà 706 đến số nhà 804 đường Quang Trung,normal,78729
Hà Nội,Quận Hà Đông,Phường Phú Lương,"Tòa CT3, CT4",normal,68460
Hà Nội,Quận Hà Đông,Phường Quang Trung,TDP 8 (Từ số 172 đến số 180 Quang Trung; Ngõ 8 Bế Văn Đàn; đường Thành Công),normal,67319
Hà Nội,Quận Long Biên,Phường Gia Thụy,TDP số 6,normal,69010
Hà Nội,Quận Long Biên,Phường Long Biên,Từ Đình Thạch Cầu đến ngách 56/40 Thạch Cầu kéo dài đến đường ven chân đê.,extreme poverty,21765.333333333332
Hà Nội,Quận Long Biên,Phường Long Biên,Từ Đình Thạch Cầu đến ngách 56/40 Thạch Cầu kéo dài đến đường ven chân đê.,normal,43530.666666666664
Hà Nội,Quận Long Biên,Phường Phúc Lợi,Tổ 12 (Từ ngõ 195 Vũ Xuân Thiều đến ngõ 95),extreme poverty,7622.8
Hà Nội,Quận Long Biên,Phường Phúc Lợi,Tổ 12 (Từ ngõ 195 Vũ Xuân Thiều đến ngõ 95),normal,49548.200000000004
Hà Nội,Quận Long Biên,Phường Thượng Thanh,Tổ dân phố số 13,extreme poverty,17522.4
Hà Nội,Quận Long Biên,Phường Thượng Thanh,Tổ dân phố số 13,normal,48186.600000000006
Hà Nội,Quận Long Biên,Phường Thạch Bàn,Từ đoạn giáp tổ 5 đến ngách 197/18,normal,88998
Hà Nội,Quận Long Biên,Phường Việt Hưng,Tòa GH4 + khu Palm,normal,71862
Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,TDP 4-14,normal,51625
Hà Nội,Quận Nam Từ Liêm,Phường Mễ Trì,khu tái định cư Đồng Me,normal,50235
Hà Nội,Quận Nam Từ Liêm,Phường Đại Mỗ,TDP số 1 Đình -2,normal,71488
Hà Nội,Quận Thanh Xuân,Phường Khương Trung,173/211 đến 237/211 Khương Trung,normal,59211
Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,"Nam Thăng Long 3-5, Tổ 33-1",normal,50204
Hà Nội,Quận Thanh Xuân,Phường Phương Liệt,"Phố Giải Phóng, Vọng-6",normal,68229
Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Trung,Chung cư A2 Hạ Đình,normal,61152
Hà Nội,Quận Tây Hồ,Phường Bưởi,Tổ dân phố số 25,normal,67665
Hà Nội,Quận Tây Hồ,Phường Quảng An,Tổ dân phố số 02,normal,51000
Hà Nội,Quận Tây Hồ,Phường Tứ Liên,Tổ dân phố số 04-2,normal,31850.000000000004
Hà Nội,Quận Tây Hồ,Phường Xuân La,Tổ dân phố số 34,normal,52274
Hà Nội,Quận Tây Hồ,Phường Yên Phụ,Tổ dân phố số 1,normal,45632
Hà Nội,Quận Đống Đa,Phường Cát Linh,Tổ dân phố số 14,normal,47702
Hà Nội,Quận Đống Đa,Phường Khâm Thiên,Tổ dân phố số 17,normal,86020
Hà Nội,Quận Đống Đa,Phường Kim Liên,Tổ dân phố số 17,normal,49555
Hà Nội,Quận Đống Đa,Phường Láng Thượng,Tổ dân phố số 15,normal,43020
Hà Nội,Quận Đống Đa,Phường Phương Liên,Tổ dân phố số 14,normal,110227
Hà Nội,Quận Đống Đa,Phường Quang Trung,Tổ dân phố số 2,normal,94827
Hà Nội,Quận Đống Đa,Phường Thịnh Quang,Tổ dân phố số 8-2,normal,62315.99999999999
Hà Nội,Quận Đống Đa,Phường Thổ Quan,Tổ 3+4,normal,63896
Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Tổ dân phố 85,normal,39117
Hà Nội,Thị xã Sơn Tây,Phường Viên Sơn,Tổ dân phố 1 Tiền Huân -2,extreme poverty,8064
Hà Nội,Thị xã Sơn Tây,Phường Viên Sơn,Tổ dân phố 1 Tiền Huân -2,normal,52416
Hà Tĩnh,Huyện Can Lộc,Xã Kim Song Trường,Đình Hồ,extreme poverty,27230.933333333334
Hà Tĩnh,Huyện Can Lộc,Xã Kim Song Trường,Đình Hồ,normal,1945.0666666666666
Hà Tĩnh,Huyện Can Lộc,Xã Mỹ Lộc,Bắc Đô,extreme poverty,21169.2
Hà Tĩnh,Huyện Can Lộc,Xã Mỹ Lộc,Bắc Đô,normal,3256.8
Hà Tĩnh,Huyện Can Lộc,Xã Quang Lộc,Yên Bình,extreme poverty,15397.2
Hà Tĩnh,Huyện Can Lộc,Xã Quang Lộc,Yên Bình,normal,2368.8
Hà Tĩnh,Huyện Cẩm Xuyên,Thị trấn Thiên Cầm,TDP Nhân Hòa B,extreme poverty,22647.733333333334
Hà Tĩnh,Huyện Cẩm Xuyên,Thị trấn Thiên Cầm,TDP Nhân Hòa B,normal,3484.266666666667
Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Quan,Chi Quan A,extreme poverty,22898.399999999998
Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Quan,Chi Quan A,normal,1635.6
Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Thịnh,Đông Thuận,extreme poverty,25382
Hà Tĩnh,Huyện Cẩm Xuyên,Xã Nam Phúc Thăng,Thôn 1,extreme poverty,17945
Hà Tĩnh,Huyện Cẩm Xuyên,Xã Yên Hòa,Thôn Mỹ Hòa A,extreme poverty,23036.533333333333
Hà Tĩnh,Huyện Cẩm Xuyên,Xã Yên Hòa,Thôn Mỹ Hòa A,normal,1645.4666666666667
Hà Tĩnh,Huyện Hương Khê,Xã Hương Lâm,Thôn 11,extreme poverty,25650
Hà Tĩnh,Huyện Hương Khê,Xã Hương Thủy,Thôn 4,extreme poverty,24990
Hà Tĩnh,Huyện Hương Khê,Xã Hương Trà,Tân Trà,extreme poverty,21337.86666666667
Hà Tĩnh,Huyện Hương Khê,Xã Hương Trà,Tân Trà,normal,1524.1333333333334
Hà Tĩnh,Huyện Hương Sơn,Xã Kim Hoa,Thôn Kim Lĩnh,extreme poverty,29181.600000000002
Hà Tĩnh,Huyện Hương Sơn,Xã Kim Hoa,Thôn Kim Lĩnh,normal,2084.4
Hà Tĩnh,Huyện Hương Sơn,Xã Quang Diệm,Thôn Bảo Thượng - xã Sơn Quang,extreme poverty,26068
Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Bình,Thôn 6 Xã Sơn Bình,extreme poverty,21012
Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Bình,Thôn 6 Xã Sơn Bình,normal,5253
